"covariateEffect","treatEffect","naiveTE","olsTE","rfTE","naiveSE","olsSE","rfSE","naivePower","olsPower","rfPower","accControl","accTreat","accControlRF","accTreatRF"
1,0.6,0.395372761623383,0.381893281888003,0.480250731738151,0.129672987353814,0.102736158248442,0.068480792853733,0.92,0.96,0.99,0.77008,0.76997,0.87283,0.86055
1.5,0.6,0.244375512768088,0.268263009665883,0.321581573650015,0.128974462568739,0.0890058599076786,0.0593673005304037,0.48,0.88,0.97,0.82864,0.82919,0.90212,0.8936
2,0.6,0.227337189195702,0.247051798633041,0.285146808243913,0.128820036310465,0.0790287618498758,0.0537819461449062,0.42,0.87,0.94,0.86528,0.86623,0.91864,0.91118
0,0.8,0.81949307344707,0.819252986235872,1.53188578266639,0.131934445876429,0.131409291556954,0.103462266104262,1,1,1,0.52176,0.59208,0.74803,0.74597
0.5,0.8,0.679846197530601,0.683512734860415,0.99868123032855,0.132055538716325,0.121391997337302,0.0870590031245421,1,1,1,0.66799,0.67189,0.8182,0.79985
1,0.8,0.512942436301914,0.513724895069985,0.650138079314366,0.130722640127731,0.103675211274407,0.0701227028793868,0.98,1,1,0.76693,0.76763,0.86975,0.85485
1.5,0.8,0.360389587466399,0.372467783051436,0.447081097172911,0.129932394462609,0.0901217118892106,0.0609862406575676,0.77,0.99,1,0.82627,0.82611,0.90106,0.88705
2,0.8,0.315285528280862,0.309398398739856,0.364921532109716,0.12957934224896,0.0802321175188611,0.0550076008689311,0.69,0.94,1,0.86167,0.86223,0.91723,0.90726
0,1,1.00840227101095,1.00759992555614,1.74415918974836,0.135041356670525,0.134461206282372,0.109010479876991,1,1,1,0.52429,0.61417,0.74955,0.74824
0.5,1,0.836181114762616,0.834317439606281,1.22754924153052,0.134336306115836,0.123504941774993,0.0912748069029632,1,1,1,0.66541,0.67622,0.81748,0.79175
1,1,0.631726034063311,0.619431525936273,0.781037738465795,0.132536558441801,0.105317178479481,0.0724655776521976,1,1,1,0.7654,0.76736,0.86855,0.84952
1.5,1,0.483760583542702,0.482218368530014,0.570779121209736,0.130926958380019,0.0909136209104407,0.0621907908329783,0.97,1,1,0.82272,0.82422,0.89815,0.88281
2,1,0.376253083331194,0.386131183576744,0.452422261764525,0.130228514989115,0.0809694852023395,0.0563307460309009,0.86,1,1,0.85922,0.85997,0.9163,0.90186
0,1.2,1.22328525721201,1.2244081941948,2.00494096003565,0.1391427899484,0.13864534191995,0.11552944929467,1,1,1,0.5212,0.63301,0.74538,0.74827
0.5,1.2,0.997204812234748,0.997543446844895,1.43770432991991,0.137645384396358,0.126791861027792,0.0968933709733396,1,1,1,0.6659,0.68389,0.81625,0.78891
1,1.2,0.773571046727738,0.766991412071844,0.965576724625221,0.134760219607128,0.107409437952439,0.0761765102491206,1,1,1,0.76115,0.76599,0.86454,0.84118
1.5,1.2,0.574285642992961,0.561883348179112,0.674401834239985,0.132075667831678,0.0922794291884675,0.0642970965938694,0.99,1,1,0.81876,0.82221,0.89382,0.87694
2,1.2,0.446207469962927,0.461058100474004,0.539802528795021,0.130721614851768,0.0813750889544702,0.0575028469882117,0.92,1,1,0.85743,0.8571,0.91285,0.89704
0,1.4,1.40180313186049,1.40178700052554,2.1653242844517,0.143766895451981,0.143185584967625,0.1218414226305,1,1,1,0.52321,0.65026,0.7493,0.74989
0.5,1.4,1.17515163619772,1.17715965140864,1.65497419125093,0.14176999419782,0.130850535557844,0.10277009643412,1,1,1,0.66322,0.69053,0.81716,0.78428
1,1.4,0.907688960182557,0.910219782731804,1.1480001062929,0.136829314328399,0.10986570441621,0.0796351387447909,1,1,1,0.75437,0.76119,0.86007,0.83019
1.5,1.4,0.690092000888273,0.694449535619656,0.825738504928326,0.133861024048494,0.0944183902050539,0.0672059343176927,1,1,1,0.81159,0.81533,0.88918,0.86732
2,1.4,0.558177382349777,0.537688398263569,0.633999327276113,0.131969639951688,0.0828043937537,0.0596644949271188,0.99,1,1,0.85255,0.85273,0.90895,0.89015
0,1.6,1.59507779596301,1.59394763870397,2.33423730577845,0.150128482337109,0.149470690981108,0.130240168753069,1,1,1,0.53735,0.66928,0.75496,0.75315
0.5,1.6,1.36069935024689,1.35875130264751,1.90832845054694,0.146311228104363,0.135586774028949,0.11023916933806,1,1,1,0.65828,0.69309,0.8132,0.77708
1,1.6,1.00788382297942,1.01401400509187,1.28245066458768,0.139240251681788,0.112347250694545,0.0830562770094909,1,1,1,0.75123,0.75936,0.85821,0.82442
