"covariateEffect","treatEffect","naiveTE","olsTE","rfTE","naiveSE","olsSE","rfSE","naivePower","olsPower","rfPower","accControl","accTreat","accControlRF","accTreatRF","se_of_naiveTE","se_of_olsTE","se_of_rfTE","se_of_naiveSE","se_of_olsSE","se_of_rfSE","se_of_naivePower","se_of_olsPower","se_of_rfPower","se_of_accControl","se_of_accTreat","se_of_accControlRF","se_of_accTreatRF"
0,0.4,0.405820336339434,0.405783601760885,0.837431732638043,0.1279783977395,0.127460563386828,0.0937820642568158,0.891,0.893,0.997,0.52594,0.551496,0.750424,0.74966,0.00395395000237617,0.00396782456500482,0.00840789405911793,1.95622227199108e-05,2.14332807273095e-05,8.44098597849946e-05,0.00985982840703712,0.0097799103598472,0.00173031615434694,0.000647592291318987,0.000497883391841776,0.000495119548561121,0.000432561567305175
0.5,0.4,0.336882501287875,0.339432719874175,0.507552335506374,0.12854082826682,0.117350588128018,0.0799902673739779,0.728,0.827,0.965,0.671689,0.673603,0.821288,0.813673,0.0041688376849886,0.00378505663221849,0.00603829661763757,2.38943165559498e-05,5.66466187190746e-05,8.71220015226561e-05,0.0140788569924626,0.0119672141375599,0.0058145342727349,0.000499729936074485,0.000492379760783106,0.000423386717212895,0.000418725927549754
1,0.4,0.2552390526628,0.254918867566859,0.322616418006902,0.128542093517955,0.1013020692714,0.06676668664411,0.522,0.7,0.926,0.772491,0.77264,0.873244,0.866993,0.00413782025955542,0.00319517784115234,0.00435492137293508,2.35871940341157e-05,7.09300419575566e-05,7.30721890282959e-05,0.0158039794281619,0.0144986278733613,0.0082820645127041,0.000429073447119515,0.00043063888566855,0.000354598652287631,0.000359502702622934
1.5,0.4,0.196599473022551,0.193091971607418,0.231882881607455,0.128392114911897,0.0884290894802962,0.0585651786834723,0.345,0.585,0.839,0.830082,0.830279,0.901241,0.896744,0.0041681379035497,0.00280791190413997,0.00367187326848489,2.21275064544942e-05,7.85665731433426e-05,7.28368838216553e-05,0.0150399867420554,0.0155890351856046,0.0116281646967273,0.000391919477542105,0.000389035355086793,0.000312362753044421,0.000330944085893657
2,0.4,0.150278324372622,0.153721241298105,0.180990918602417,0.128303395052391,0.0786996643460638,0.053085432668778,0.211,0.497,0.788,0.866726,0.866708,0.918758,0.914821,0.00409272397200054,0.00247947703019903,0.00322709293562134,2.23420041892881e-05,8.19799472763034e-05,6.96336369123116e-05,0.012909130321042,0.0158190151792468,0.0129314818649381,0.000350884659174556,0.000348330403597031,0.000285031013538314,0.000289113378357947
0,0.6,0.605769030503534,0.605665055515329,1.18622605558821,0.129630008365055,0.129109860267843,0.0982390285960218,0.997,0.996,1,0.526146,0.573585,0.749364,0.749997,0.00406090539653905,0.00407286546327735,0.00819027098147217,2.96761196280746e-05,3.0584149808707e-05,9.66938506322351e-05,0.00173031615434694,0.00199699473909873,0,0.000790894555676165,0.000490815316259257,0.000555287176016022,0.000426115671579403
0.5,0.6,0.506709732612076,0.50964641003412,0.756049857882772,0.130028965429034,0.118980206329098,0.0828128434416932,0.974,0.988,1,0.670315,0.674159,0.820646,0.807412,0.00422983660860911,0.00389426926159825,0.00620330118085408,3.36778085595848e-05,5.71883109525831e-05,9.83814025592047e-05,0.00503481373531825,0.00344497719409982,0,0.000498530146838992,0.000480108553582648,0.000437362515506267,0.000421259677296219
1,0.6,0.378027854493997,0.378729741988519,0.480357878393532,0.129541109785263,0.102358851526217,0.0683246104670076,0.831,0.965,0.994,0.770505,0.771347,0.872064,0.861853,0.00407448510796549,0.00321988821231265,0.00437513909715741,2.88389729237346e-05,7.3155592547652e-05,7.65993539563273e-05,0.0118566259778902,0.0058145342727349,0.00244335219932984,0.000443355996395154,0.000431690801324221,0.000356952825061407,0.000360334889002207
1.5,0.6,0.285852863918135,0.288884764943282,0.34794177995396,0.129137717426883,0.0891064841494011,0.0595851589083113,0.589,0.9,0.975,0.828605,0.829429,0.900791,0.893202,0.004042353755855,0.00284506071095584,0.00379686238083635,2.80270777570823e-05,8.10976121734407e-05,7.60584396594683e-05,0.0155666734185991,0.00949157995752499,0.00493957481969849,0.000388744256674098,0.00037835183243789,0.000325581514097964,0.000342523748838703
2,0.6,0.230162681110286,0.226992612325849,0.26499696071289,0.128786845509894,0.0792977909794447,0.0539829072195288,0.424,0.811,0.937,0.864907,0.864991,0.917861,0.911174,0.00410931290786726,0.00256808793907881,0.00337172301483556,2.47302705410204e-05,8.41299947158162e-05,7.34065351899883e-05,0.0156354874714052,0.0123867845881178,0.00768700787628646,0.000359507436079696,0.000362999569817497,0.000296008953074566,0.000310783381650806
0,0.8,0.799561642594837,0.799115375681783,1.47204807449005,0.131948012245423,0.131403638982389,0.103361959733987,0.999,0.999,1,0.527623,0.595013,0.750743,0.749959,0.00415017634090966,0.00417626329457775,0.00791306661629066,4.26118175442784e-05,4.42201021035956e-05,0.000113166110313354,0.001,0.001,0,0.00096469451460372,0.00048846435737772,0.000629713816340797,0.000438147569081802
0.5,0.8,0.676312945595444,0.676283952019864,0.992096709797117,0.132077658244355,0.121011654921012,0.0865036937429628,0.998,0.999,1,0.669847,0.676343,0.820547,0.800332,0.00418042096068082,0.00379267405729231,0.00611057422883183,4.24940376418219e-05,6.81454807839061e-05,0.000117499617125684,0.00141350557055782,0.001,0,0.000513691999616959,0.000504309110247553,0.000454066038112262,0.000436516119201023
1,0.8,0.507219569618817,0.50295424593563,0.634959861034961,0.130915091347971,0.103833790217325,0.0704679598761689,0.974,0.999,1,0.76769,0.769272,0.870314,0.854986,0.0042870786401526,0.00344016022094553,0.00461656685689854,3.72171124693549e-05,7.91454909786037e-05,8.56753242309597e-05,0.00503481373531825,0.001,0,0.000456133706228731,0.000439398551530484,0.000389382874588782,0.000382625412389463
1.5,0.8,0.383308421905958,0.388127009073767,0.463532185809974,0.129898132781241,0.0900319829715438,0.0609329653747298,0.837,0.995,0.998,0.825559,0.826044,0.898322,0.888085,0.00419147831526606,0.00296090956603808,0.00393434054375876,3.12134860238708e-05,8.2666568903236e-05,8.06597230255828e-05,0.0116862127127469,0.00223158687484489,0.00141350557055782,0.000411368135303091,0.000404491875910601,0.000335778294508539,0.000361846248713052
2,0.8,0.306520361491262,0.306625277152059,0.359655814093798,0.129393680548301,0.0801288406645215,0.0551341557352563,0.669,0.972,0.993,0.861914,0.861985,0.916303,0.906689,0.00400848786844124,0.00257545665976699,0.00339133211639456,2.81751298290066e-05,8.37447610103113e-05,7.80989036151519e-05,0.0148882725882038,0.00521950603441008,0.00263779414624378,0.000348720819869148,0.000356886737135388,0.000308545606663572,0.000333372788956172
0,1,1.0058864535147,1.00585858864457,1.73789854958992,0.135187993667023,0.134650109261122,0.109427690052682,1,1,1,0.527048,0.616448,0.750574,0.75028,0.0043793029034174,0.00439138207661016,0.00746173268615432,6.05662925412005e-05,6.22187615770836e-05,0.000127950366658359,0,0,0,0.001172273825487,0.000503307673907934,0.000701162001360708,0.000435324140276079
0.5,1,0.848984131457036,0.848894136947697,1.24012362211073,0.134765942097449,0.12378030595143,0.0914236255303336,1,1,1,0.667396,0.678973,0.818646,0.793169,0.00429503583678286,0.00398366143023394,0.00636377977643394,5.66313188187161e-05,7.71936788030761e-05,0.000139769443086806,0,0,0,0.000545779313513309,0.000486369022272004,0.000499960643095678,0.000454201208428311
1,1,0.635755114717764,0.633163666813991,0.801638040926315,0.132529269190013,0.105434143333432,0.0728386004753991,0.997,1,1,0.764709,0.766506,0.868256,0.847926,0.00407676366745734,0.00327903192954973,0.00461700651952393,4.34591028662436e-05,8.07158735154541e-05,9.45043522382502e-05,0.00173031615434694,0,0,0.000449232822853729,0.000439099957609623,0.000394715421872853,0.000401903035631793
1.5,1,0.486259748906746,0.483540912448407,0.578729035352561,0.131060767511748,0.0911565709006407,0.0627453962000925,0.962,1,1,0.823255,0.82371,0.896737,0.881509,0.00423281048766348,0.00296030601689704,0.00390294029791196,3.86182427116967e-05,8.34241407989817e-05,8.2959189992678e-05,0.00604918115058498,0,0,0.000407224516460891,0.000395932649149653,0.000347195010585371,0.000364283710343493
2,1,0.3834145017997,0.386830509202309,0.450564160886274,0.130162841238939,0.0809214573235199,0.0563734006971178,0.842,0.996,0.998,0.859222,0.859289,0.914448,0.902477,0.00415995912067409,0.00265102457653375,0.00349288304115102,3.42683674370653e-05,8.58188490269356e-05,8.16837222669435e-05,0.0115398946775596,0.00199699473909873,0.00141350557055782,0.000365675312858873,0.000370638438173717,0.000313428673757737,0.000342868823356733
